;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33
1;0.352662008;0.458812649;0.511080167;0.597141176;0.630069794;0.652402489;0.684981943;0.704678457;0.727391751;0.736860874;0.746079721;0.781216266;0.812402166;0.839233587;0.86593281;0.880418814;0.888970644;0.895121892;0.900599676;0.90325199;0.907475922;0.913415838;0.916667054;0.921000401;0.923850325;0.925874569;0.928390442;0.929840031;0.931703407;0.932173151;0.93248015;0.932544183;0.932552367
2;0.324760838;0.436853641;0.521398765;0.591088993;0.672516113;0.762214916;0.802014585;0.834518515;0.862899687;0.8795828;0.888844967;0.892549758;0.900895221;0.918866536;0.931140967;0.939629868;0.945671236;0.955958286;0.966755468;0.977139832;0.984434845;0.987970001;0.989394598;0.995965199;0.99905118;0.999969608;0.999993517;1;NA;NA;NA;NA;NA
3;0.164726254;0.276151669;0.393329541;0.450903238;0.514828971;0.56587417;0.616674132;0.675100123;0.710762024;0.744002599;0.76136313;0.776138462;0.789527463;0.798554659;0.807319208;0.813336899;0.822769024;0.836033568;0.844132145;0.848644094;0.853500328;0.857508868;0.859283038;0.860586296;0.862656115;0.863030139;0.863151603;0.863324849;0.863759383;0.863866375;0.863903837;0.863930116;NA
4;0.475159586;0.548985639;0.61136031;0.657124106;0.685537125;0.699812878;0.71114394;0.721002036;0.731418063;0.739365421;0.749228469;0.759766279;0.767960602;0.773773937;0.778294357;0.78334896;0.791237851;0.796780707;0.801438392;0.80273103;0.806418281;0.807473738;0.808060329;0.808698273;0.809094142;0.809456961;0.809594759;0.809627277;0.809627742;0.809627742;NA;NA;NA
5;0.099623749;0.171757916;0.275296054;0.296747818;0.322513199;0.342476446;0.35964293;0.382445061;0.420210876;0.438993584;0.460569097;0.467044147;0.474785923;0.480816577;0.488001487;0.494902641;0.499212408;0.503307593;0.507785485;0.512259722;0.517933464;0.519782598;0.523286449;0.525488684;0.527617083;0.529015724;0.529491736;0.529787388;0.530195396;0.530224058;0.530230613;NA;NA
6;0.064131379;0.134424624;0.20644651;0.24642913;0.317931691;0.344250017;0.391926375;0.428537272;0.464229225;0.496014232;0.517121041;0.531867445;0.549473142;0.569647934;0.580986235;0.588848543;0.594064132;0.605212091;0.614194657;0.621222216;0.627240216;0.630674067;0.633564537;0.636047819;0.637600125;0.638323517;0.638862104;0.638973036;0.639083038;0.639097588;NA;NA;NA
7;0.18040189;0.248602791;0.296065807;0.377280624;0.41531313;0.456659374;0.498182013;0.524053578;0.548127378;0.572370787;0.597522864;0.624668042;0.642345558;0.649692269;0.66363606;0.677484015;0.698414809;0.708126827;0.714817397;0.722642748;0.72829287;0.733737063;0.739619496;0.740832791;0.741497475;0.743036177;0.74365497;0.743758629;0.743833756;0.743840476;NA;NA;NA
8;0.219761205;0.389432883;0.489455408;0.53963091;0.584629937;0.630924535;0.667150885;0.713353023;0.747418346;0.778145217;0.798681605;0.814995776;0.848494487;0.858228251;0.867262421;0.880991401;0.904468895;0.926580077;0.93649498;0.94705182;0.960901539;0.971570289;0.979356518;0.985142535;0.989752452;0.994567147;0.997231258;0.999669643;0.999934824;0.999965772;0.999996778;1;NA
9;0.207477664;0.268909761;0.331775276;0.371033182;0.396424046;0.427372224;0.451371687;0.486830097;0.515502357;0.565816042;0.590979428;0.610401492;0.628007665;0.650538164;0.672304215;0.689316829;0.699143677;0.712625534;0.720101687;0.732570388;0.738528827;0.748703906;0.762358447;0.771303048;0.773928858;0.77819023;0.786051241;0.788748065;0.792194326;0.794480099;0.795526851;0.795596815;0.795914602
10;0.225144763;0.298137826;0.355657199;0.408300455;0.451474107;0.480204405;0.516739787;0.532426926;0.554485412;0.580707189;0.604126342;0.627917431;0.643989044;0.656445987;0.670168112;0.679978973;0.686559117;0.69352736;0.701839704;0.708008958;0.71412484;0.721818116;0.724962344;0.727997011;0.730755358;0.732622347;0.733866228;0.735542852;0.736519568;0.737289548;NA;NA;NA
11;0.226288424;0.326968709;0.386779555;0.451587359;0.501990966;0.539945473;0.567232637;0.599042494;0.632011254;0.654801164;0.673754743;0.691290766;0.705799025;0.718087971;0.726096157;0.742271788;0.749139892;0.754158052;0.758592115;0.761953837;0.765726819;0.768078883;0.770350788;0.771901408;0.772414191;0.772593175;0.772808656;0.772884349;0.772937128;0.772967198;0.772979992;NA;NA
12;0.165318334;0.261592102;0.35514902;0.410941239;0.475799694;0.535010991;0.583070258;0.619638897;0.652517041;0.675954505;0.691238203;0.706928842;0.730131495;0.759469972;0.783087891;0.805153336;0.836923017;0.874597761;0.894091056;0.915983078;0.931925347;0.934389036;0.936927953;0.940461426;0.945195608;0.947839053;0.948852372;0.950396222;0.950795693;0.950839045;0.95085972;NA;NA
13;0.172290321;0.243705833;0.329205015;0.499858681;0.559164517;0.592118467;0.635562115;0.66921138;0.706466713;0.7316581;0.753000262;0.773730013;0.794328623;0.811083983;0.82855697;0.849668938;0.85995312;0.869870087;0.884716236;0.892752939;0.897320511;0.902471187;0.904871883;0.907098687;0.908838739;0.909868224;0.910714131;0.911168681;0.912086793;0.912494959;0.912527171;0.912536666;NA
14;0.299818611;0.477068925;0.541883562;0.583845125;0.620154326;0.656184579;0.68153642;0.700902756;0.71803058;0.729469861;0.741077892;0.757999453;0.772749167;0.780624036;0.793050032;0.798666171;0.804456942;0.810667746;0.818701444;0.826783322;0.832598375;0.835368621;0.839180435;0.844768691;0.845703127;0.846480455;0.847714211;0.848184038;0.849181605;0.849430131;0.849467917;0.849468416;NA
15;0.123154821;0.235776779;0.383289468;0.448378984;0.506341343;0.571654083;0.609512418;0.655218677;0.71423036;0.771179388;0.792061694;0.8160707;0.834073692;0.844691962;0.857584769;0.874201184;0.886487462;0.89668338;0.904235146;0.908017157;0.909990242;0.911183868;0.912455974;0.913763451;0.913994938;0.914109501;0.914309342;0.914377313;0.914480945;0.914480975;NA;NA;NA
16;0.166423338;0.26910569;0.345101139;0.43357532;0.5952603;0.6478096;0.699978323;0.740478873;0.779314593;0.806512597;0.821443028;0.833748004;0.856655559;0.876165425;0.889340127;0.907483457;0.919928238;0.929519621;0.940486763;0.948962674;0.964063038;0.97208049;0.975796982;0.980090057;0.988131932;0.992849752;0.996284966;0.998631368;0.999709528;0.999844996;1;NA;NA
17;0.184157308;0.319135669;0.372829746;0.407945458;0.444043229;0.488672755;0.519876889;0.599233571;0.653058258;0.707208495;0.744629139;0.769731922;0.786570131;0.806648541;0.82295269;0.831271709;0.839221174;0.848665973;0.860686341;0.865774609;0.873758935;0.876711731;0.879145435;0.88450943;0.892860982;0.911768299;0.922036217;0.936634004;0.941369421;0.943481277;0.943483398;NA;NA
18;0.088584186;0.156762005;0.212899391;0.265052753;0.296284394;0.330609781;0.376256858;0.420953419;0.444156858;0.465050417;0.495036114;0.505392607;0.51290736;0.518760061;0.526184891;0.532803333;0.536885686;0.540339328;0.543650382;0.548291409;0.551101971;0.552175167;0.553823005;0.554614783;0.555689606;0.556023512;0.556409543;0.556623235;0.556780421;0.556822324;NA;NA;NA
19;0.196744153;0.402786757;0.541123191;0.635708832;0.692832024;0.74332507;0.825172973;0.870368199;0.901840414;0.918986112;0.931307905;0.958381;0.963244699;0.972712012;0.977965873;0.982755752;0.985778864;0.986116531;0.986818591;0.98699326;0.987038687;0.987046659;0.987049272;0.987049684;0.987049686;0.987049686;NA;NA;NA;NA;NA;NA;NA
20;0.258062602;0.380031265;0.468184318;0.552414654;0.593079982;0.624464806;0.656286713;0.693205535;0.719641763;0.736004409;0.7432237;0.751189682;0.758735599;0.769675156;0.780228254;0.782224193;0.785610615;0.788806526;0.792373866;0.797910627;0.800450004;0.802040022;0.803359134;0.804721002;0.805528615;0.80639319;0.80668083;0.806741433;0.806813747;0.806813753;NA;NA;NA
21;0.116596328;0.212447958;0.272554839;0.31285261;0.360380077;0.412355196;0.45334045;0.497324741;0.52520862;0.562805094;0.615110288;0.63734001;0.659099509;0.674242646;0.703511314;0.719095725;0.730822547;0.740501809;0.750052573;0.75633127;0.764667407;0.775467277;0.779508379;0.784186399;0.786641286;0.788898624;0.79088019;0.791843895;0.792362308;0.793006958;0.793101297;0.793194182;NA
22;0.084842255;0.182619807;0.263925584;0.333107897;0.426821009;0.479717383;0.535898222;0.60870592;0.6400322;0.703806308;0.730641222;0.769657263;0.810743577;0.826231886;0.834532124;0.850880449;0.874503748;0.890745865;0.905803982;0.909634194;0.917669262;0.922466187;0.930935712;0.934931461;0.940719561;0.953130879;0.960145018;0.963738257;0.966254901;0.967481004;0.96797802;0.968250662;0.968250804
23;0.076753758;0.162560465;0.210047944;0.282420678;0.336030277;0.377378975;0.414773424;0.46138034;0.487755797;0.506158831;0.52607367;0.542243279;0.564603208;0.576491697;0.584057803;0.590822943;0.593659538;0.599420073;0.60850361;0.611950367;0.617878434;0.623857734;0.628209582;0.63043356;0.636107961;0.640883179;0.645495424;0.649796791;0.652369341;0.653361522;0.653983423;NA;NA
24;0.069641863;0.109096519;0.162106349;0.205981342;0.253579169;0.293214492;0.326305336;0.362727801;0.414661222;0.426790084;0.45170332;0.492134901;0.511331998;0.52901806;0.54216837;0.553668117;0.566185581;0.582411315;0.59592632;0.607106047;0.625024447;0.63537165;0.647100878;0.655980318;0.658933015;0.661559173;0.663873485;0.665400074;0.667199711;0.669297335;0.670147511;0.670516008;0.670858634
25;0.080227846;0.212227477;0.310099821;0.378119599;0.462009238;0.571216186;0.627557314;0.668198849;0.710338547;0.754476588;0.796588775;0.825471569;0.840838643;0.857945265;0.873018891;0.885942703;0.888662932;0.89216027;0.894571279;0.901352333;0.907338985;0.915387478;0.919979595;0.926160024;0.931440246;0.935088989;0.937672648;0.941110725;0.942406852;0.943144079;0.943315678;NA;NA
26;0.064084116;0.190675976;0.230661603;0.326607155;0.400144592;0.453742255;0.516268685;0.57067085;0.625836155;0.672304858;0.728147878;0.766573744;0.792451048;0.861711221;0.908084132;0.92318356;0.949681936;0.973509287;0.981274004;0.98701676;0.988395846;0.988829724;0.988927088;0.988945401;0.988945507;0.988945507;NA;NA;NA;NA;NA;NA;NA
27;0.144053749;0.222262442;0.306356566;0.401240822;0.457493483;0.538612567;0.576666022;0.621423901;0.641995565;0.654334252;0.666073491;0.684038882;0.693988395;0.706223628;0.719228285;0.728095154;0.740515977;0.755942064;0.762805247;0.772131781;0.791204982;0.794578384;0.798617519;0.801001382;0.807222427;0.81768541;0.820496702;0.820865657;0.821049933;0.821132023;0.821142123;NA;NA
